dataset,model,n_features,n_samples,backend,library,computation_type,approximator,budget,n_eval,runtime_s,n_model_evals,mean_abs_diff,relative_mae,sign_agreement,mean_sample_rho,reference_backend
ames_housing,random_forest,4,1000,shap_true_value,shap,true_value,,,100,0.8289,,,,,,
ames_housing,random_forest,4,1000,shap_approx,shap,approximation,kernel,512.0,100,2.3699,280300.0,434.7390275180682,0.0300926716164251,0.9925,0.988,shap_true_value
ames_housing,random_forest,4,1000,shap_approx,shap,approximation,permutation,512.0,100,73.1699,7797902.0,475.60098249261176,0.0329211395358437,0.995,0.984,shap_true_value
ames_housing,random_forest,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,55.7716,160201.0,1310.2029333835214,0.0906923559411711,0.885,0.9620000000000002,shap_true_value
ames_housing,random_forest,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,1984.0818,5120201.0,737.3910873830722,0.0510422723540163,0.9675,0.978,shap_true_value
ames_housing,random_forest,4,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,58.3285,6387900.0,670.9838001537355,0.0464455544128211,0.9725,0.978,shap_true_value
ames_housing,random_forest,4,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,41.1669,2221500.0,787.8251805946595,0.0545333244777537,0.98,0.97,shap_true_value
ames_housing,random_forest,4,1000,dalex_approx,dalex,approximation,permutation,512.0,100,441.8454,12820301.0,618.8101526836532,0.0428340901987345,0.985,0.974,shap_true_value
ames_housing,random_forest,64,1000,shap_true_value,shap,true_value,,,100,1.9241,,,,,,
ames_housing,random_forest,64,1000,shap_approx,shap,approximation,kernel,512.0,100,33.2025,10240300.0,379.0243808478473,0.3076825284647603,0.983983983983984,0.5907221559779617,shap_true_value
ames_housing,random_forest,64,1000,shap_approx,shap,approximation,permutation,512.0,100,22.6433,5286643.0,147.9511610379227,0.1201030583194039,0.9375992378532868,0.9639276496461858,shap_true_value
ames_housing,random_forest,64,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,80.4231,5120201.0,722.0530147935996,0.5861446083767397,0.6881549698316926,0.61609860162193,shap_true_value
ames_housing,random_forest,64,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,245.3802,5060201.0,265.239663521445,0.2153149360441306,0.8924302788844621,0.8832720076250571,shap_true_value
ames_housing,random_forest,64,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,297.2012,105588300.0,213.3562319992763,0.173197261818373,0.8104160050809781,0.8752492845677954,shap_true_value
ames_housing,random_forest,64,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,289.5455,101770700.0,114.3403626966342,0.0928186514582046,0.9531597332486504,0.9755796646703352,shap_true_value
ames_housing,random_forest,64,1000,dalex_approx,dalex,approximation,permutation,512.0,100,361.7511,10420301.0,187.4211338388894,0.1521437967085047,0.9272554002541296,0.9514102513222272,shap_true_value
ames_housing,decision_tree,4,1000,shap_true_value,shap,true_value,,,100,0.0049,,,,,,
ames_housing,decision_tree,4,1000,shap_approx,shap,approximation,kernel,512.0,100,0.2127,280300.0,1268.9604931288045,0.0786950779109403,0.9725,0.964,shap_true_value
ames_housing,decision_tree,4,1000,shap_approx,shap,approximation,permutation,512.0,100,7.3544,7797956.0,1388.824609213328,0.086128497631313,0.97,0.968,shap_true_value
ames_housing,decision_tree,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,3.555,160201.0,2141.315397683534,0.132794506184439,0.8925,0.942,shap_true_value
ames_housing,decision_tree,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,125.2873,5120201.0,1581.320019593398,0.0980661752811565,0.9,0.966,shap_true_value
